

==================================================
                  Term Frequency                  
==================================================

     |  word_1  word_2  word_3  word_4  word_5  word_6  word_7  word_8  word_9 word_10
d70  |    0.94    0.11    0.22    0.61    0.61    1.00    0.06    0.22    0.06    0.00
d71  |    1.00    0.40    0.00    1.00    0.40    0.60    0.20    0.00    0.20    0.60
d72  |    0.62    0.25    0.12    0.25    0.00    0.12    0.12    0.12    0.12    0.25
d73  |    1.00    0.40    0.00    0.00    0.60    0.40    0.20    0.00    0.20    0.20
d74  |    0.11    0.06    0.03    0.03    0.75    0.08    0.03    0.03    0.03    0.00
d75  |    0.43    0.29    0.14    0.14    0.29    0.14    0.14    0.14    0.14    0.00
d76  |    1.00    0.25    0.50    0.25    0.75    0.00    0.25    0.50    0.25    0.00
d77  |    0.00    0.33    0.00    0.00    0.00    0.00    0.17    1.00    0.17    0.00
d78  |    0.00    0.50    0.25    0.00    0.00    0.00    0.25    0.00    0.25    0.00
d79  |    0.11    0.11    0.00    0.06    0.00    0.06    0.06    0.00    0.06    0.11
d80  |    0.00    0.20    0.60    0.00    0.00    0.00    0.20    0.40    0.20    0.00
d81  |    0.33    0.33    0.33    0.33    0.00    0.00    0.33    0.00    0.33    0.00
d82  |    0.50    0.33    0.50    0.17    0.00    0.00    0.17    0.17    0.17    0.00
d83  |    0.40    0.20    0.60    0.40    0.20    0.20    0.60    0.60    0.20    0.00
d84  |    0.00    0.25    0.50    0.00    0.00    0.00    0.25    0.25    0.25    0.00
d85  |    0.25    0.50    0.00    0.00    1.00    0.00    0.25    0.00    0.25    0.00
d86  |    0.60    0.40    0.00    0.00    0.00    0.00    0.20    0.00    0.20    0.00
d87  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d88  |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d89  |    0.20    0.40    0.00    0.00    0.00    0.00    0.20    0.00    0.20    0.00
d90  |    0.32    0.05    0.73    0.00    0.59    0.00    0.34    0.02    0.02    0.02
d91  |    0.35    0.04    0.58    0.02    1.00    0.00    0.02    0.00    0.02    0.00
d92  |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d93  |    0.00    0.20    0.20    0.00    0.00    0.00    0.20    0.20    0.20    0.00
d94  |    0.00    0.29    0.00    0.00    0.86    0.00    0.14    0.00    0.14    0.00
d95  |    0.00    0.67    0.33    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d96  |    0.22    0.11    1.00    0.22    0.00    0.11    0.11    0.89    0.11    0.00
d97  |    0.00    0.33    0.67    0.00    0.33    0.00    0.33    0.67    0.33    0.00
d98  |    0.00    0.50    0.00    0.00    0.00    0.00    0.25    0.00    0.25    0.00
d99  |    0.00    0.20    0.00    0.20    0.40    0.00    0.20    0.00    0.20    0.00
d100 |    0.17    0.17    0.17    0.17    0.50    0.00    0.17    0.17    0.17    0.00
d101 |    0.89    0.22    0.11    0.00    0.44    0.00    0.11    0.00    0.22    0.00
d102 |    0.31    0.06    0.38    0.00    1.00    0.00    0.12    0.00    0.06    0.00
d103 |    0.08    0.17    0.00    0.00    0.00    0.00    0.08    0.00    0.08    0.00
d104 |    1.00    0.25    0.25    0.00    0.00    0.00    0.25    0.25    0.25    0.00
d105 |    0.00    0.20    0.40    0.00    0.20    0.00    0.20    0.20    0.20    0.00
d106 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d107 |    1.00    0.50    0.50    0.75    0.00    0.00    0.25    0.25    0.25    0.00
d108 |    0.00    1.00    0.50    0.00    0.50    0.00    0.50    0.50    0.50    0.00
d109 |    0.11    0.22    0.44    0.00    0.00    0.00    0.11    0.00    0.22    0.00
d110 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d111 |    0.00    0.33    0.67    0.00    0.00    0.00    0.33    0.67    0.33    0.00
d112 |    0.33    0.33    0.33    0.33    0.00    0.00    0.33    0.00    0.33    0.00
d113 |    0.00    0.33    0.67    0.00    0.00    0.00    0.33    0.33    0.33    0.00
d114 |    0.00    0.14    0.00    0.00    0.43    0.00    0.14    0.00    0.14    0.00
d115 |    0.00    0.33    0.67    0.00    1.00    0.00    0.33    0.33    0.33    0.00
d116 |    0.17    0.33    0.17    0.00    0.17    0.00    0.17    0.00    0.17    0.00
d117 |    0.17    0.17    0.17    0.00    0.00    0.00    0.17    0.17    0.17    0.00
d118 |    0.17    0.17    0.00    0.00    0.00    0.17    0.17    0.00    0.17    0.00
d119 |    0.00    0.15    0.00    0.00    0.00    0.00    0.08    0.00    0.08    0.00
d120 |    0.00    0.14    0.71    0.00    0.00    0.00    0.57    0.14    0.14    0.00
d121 |    0.00    0.05    0.20    0.00    0.22    0.05    0.02    0.07    0.02    0.00
d122 |    0.10    0.10    1.00    0.00    0.00    0.30    0.10    0.20    0.10    0.00
d123 |    0.27    0.09    0.00    0.09    0.00    0.09    0.09    0.00    0.09    0.00
d124 |    0.00    0.07    0.00    0.00    0.00    0.00    0.07    0.00    0.07    0.00
d125 |    0.12    0.12    0.38    0.12    0.12    0.12    0.12    0.38    0.12    0.00
d126 |    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00    0.17    0.00
d127 |    0.43    0.14    0.29    0.00    0.14    0.43    0.14    0.29    0.14    0.00
d128 |    0.12    0.06    0.19    0.06    0.19    0.06    0.06    0.12    0.06    0.00
d129 |    0.43    0.29    0.43    0.14    0.00    0.00    0.14    0.14    0.14    0.00
d130 |    0.25    0.12    0.00    0.00    0.00    0.00    0.12    0.00    0.12    0.00
d131 |    0.25    0.25    0.50    0.00    0.00    0.25    0.25    0.50    0.25    0.00
d132 |    0.50    1.00    0.50    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d133 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d134 |    0.50    0.17    1.00    0.33    0.00    0.00    0.17    1.00    0.17    0.00
d135 |    0.33    0.17    0.50    0.00    0.17    0.00    0.17    0.33    0.17    0.00
d136 |    0.25    0.50    0.25    0.25    0.00    0.00    0.25    0.00    0.25    0.25
d137 |    0.17    0.17    0.17    0.00    0.00    0.00    0.17    0.00    0.17    0.00
d138 |    0.00    0.67    0.00    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d139 |    0.69    0.06    0.12    0.06    0.00    0.00    0.06    0.06    0.06    0.00
d140 |    0.08    0.17    0.25    0.08    0.00    0.00    0.17    0.08    0.08    0.00
d141 |    0.00    0.50    0.50    0.00    0.00    0.00    0.25    0.25    0.25    0.25
d142 |    0.12    0.12    0.25    0.00    0.00    0.12    0.12    0.25    0.12    0.00
d143 |    0.12    0.12    0.38    0.12    0.12    0.12    0.12    0.38    0.12    0.00
d144 |    0.10    0.03    0.03    0.00    0.03    0.00    0.03    0.00    0.03    0.00
d145 |    0.80    0.20    0.40    0.80    0.00    0.40    0.20    0.00    0.20    0.00
d146 |    0.00    0.14    0.14    0.00    0.00    0.00    0.14    0.00    0.14    0.00
d147 |    0.17    0.17    0.17    0.00    0.17    0.00    0.17    0.17    0.33    0.00
d148 |    0.22    0.11    0.33    0.22    0.00    0.11    0.33    0.33    0.11    0.00
d149 |    0.08    0.04    0.29    0.08    0.00    0.04    0.04    0.25    0.04    0.00
d150 |    1.00    0.17    0.33    0.50    0.00    0.17    0.17    0.50    0.17    0.00
d151 |    0.00    0.17    0.00    0.00    0.17    0.00    0.08    0.00    0.17    0.00
d152 |    0.00    0.12    0.62    0.00    0.12    0.00    0.12    0.25    0.12    0.00
d153 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d154 |    0.00    0.67    0.33    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d155 |    0.00    0.03    0.03    0.00    0.00    0.00    0.03    0.03    0.03    0.00
d156 |    0.60    0.10    0.00    0.25    0.65    0.00    0.15    0.00    0.05    0.00
d157 |    0.12    0.12    0.00    0.12    0.00    0.12    0.12    0.00    0.12    0.00
d158 |    0.67    0.17    0.50    0.50    0.00    0.00    0.17    0.67    0.17    0.00
d159 |    0.50    0.25    0.50    0.25    0.00    0.25    0.25    0.25    0.25    0.00
d160 |    0.00    0.25    0.50    0.00    0.25    0.00    0.25    0.25    0.25    0.00
d161 |    1.00    0.17    0.50    0.67    0.00    0.33    0.17    0.50    0.17    0.00
d162 |    0.57    0.14    0.29    0.14    0.00    0.14    0.14    0.29    0.14    0.00
d163 |    0.07    0.13    0.13    0.00    0.07    0.13    0.20    0.13    0.07    0.00
d164 |    0.00    0.05    0.05    0.00    0.40    0.00    0.05    0.05    0.05    0.00
d165 |    0.20    0.20    0.20    0.20    0.00    0.20    0.20    0.20    0.20    0.00
d166 |    0.11    0.22    0.22    0.00    0.67    0.00    0.11    0.00    0.11    0.00
d167 |    0.29    0.14    0.00    0.21    0.00    0.00    0.07    0.00    0.07    0.00
d168 |    0.00    0.25    0.00    0.00    0.25    0.00    0.12    0.00    0.12    0.00
d169 |    0.18    0.12    0.24    0.06    0.71    0.06    0.12    0.00    0.06    0.00
d170 |    0.00    0.50    1.00    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d171 |    0.38    0.08    0.62    0.15    0.00    0.08    0.08    0.46    0.08    0.00
d172 |    0.40    0.20    0.40    0.20    0.40    0.20    0.20    0.20    0.20    0.00
d173 |    1.00    0.17    0.67    0.67    0.00    0.17    0.17    0.67    0.17    0.00
d174 |    0.20    0.20    0.20    0.00    0.00    0.00    0.20    0.20    0.20    0.00
d175 |    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d176 |    0.14    0.29    0.14    1.00    0.00    0.00    0.14    0.00    0.14    0.00
d177 |    0.00    0.50    0.00    0.00    0.50    0.00    0.50    0.00    0.50    0.00
d178 |    0.00    0.33    0.00    0.00    0.00    0.00    0.33    0.33    0.33    0.00
d179 |    0.50    0.17    0.25    0.00    0.67    0.00    0.08    0.00    0.08    0.00
d180 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d181 |    0.00    0.12    0.12    0.00    0.50    0.00    0.12    0.00    0.12    0.00
d182 |    0.00    0.10    0.00    0.00    0.10    0.00    0.10    0.00    0.10    0.00
d183 |    0.13    0.04    0.22    0.09    0.26    0.04    0.04    0.04    0.04    0.00
d184 |    0.33    0.08    0.00    0.00    0.00    0.00    0.08    0.00    0.08    0.00
d185 |    0.40    0.20    0.00    0.00    0.20    0.00    0.20    0.00    0.20    0.00
d186 |    0.25    0.12    0.38    0.25    0.12    0.12    0.12    0.38    0.12    0.00
d187 |    0.00    0.33    0.67    0.00    0.00    0.00    0.33    0.67    0.33    0.00
d188 |    0.00    0.09    0.27    0.00    0.00    0.00    0.09    0.09    0.09    0.00
d189 |    0.20    0.20    0.40    0.00    0.40    0.00    0.20    0.20    0.20    0.00
d190 |    0.00    0.20    0.00    0.00    0.10    0.00    0.10    0.00    0.10    0.00
d191 |    0.50    0.33    0.00    0.33    0.00    0.50    0.17    0.17    0.17    0.00
d192 |    0.50    0.50    0.25    0.25    0.00    0.50    0.25    0.25    0.25    0.00
d193 |    0.43    0.29    0.00    0.29    0.29    0.43    0.14    0.00    0.14    0.00
d194 |    1.00    0.50    0.75    0.75    0.00    0.50    0.25    0.25    0.25    0.00
d195 |    0.80    0.40    0.00    1.00    0.00    1.00    0.20    0.00    0.20    0.80
d196 |    0.40    0.40    0.40    0.20    0.00    0.20    0.20    0.40    0.20    0.20
d197 |    0.80    0.40    0.80    0.80    0.60    0.80    0.20    0.80    0.20    1.00
d198 |    0.62    0.25    0.12    0.62    0.12    0.12    0.12    0.00    0.12    0.25
d199 |    1.00    0.50    0.25    0.50    0.00    0.50    0.25    0.25    0.25    0.50
d200 |    1.00    0.50    0.75    0.25    0.00    0.25    0.25    0.75    0.25    0.00
d201 |    0.25    0.50    1.00    0.25    0.00    0.25    0.25    0.25    0.25    0.50
d202 |    0.22    0.22    0.44    0.11    0.00    0.11    0.11    0.22    0.11    0.00
d203 |    0.67    0.33    0.67    0.67    0.00    0.67    0.17    0.67    0.17    1.00
d204 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    1.00    0.50    0.00
d205 |    0.20    0.40    0.00    0.20    1.00    0.20    0.20    0.00    0.20    0.00
d206 |    0.45    0.18    0.45    0.55    0.00    0.27    0.09    0.09    0.09    0.00
d207 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    1.00    0.50    0.00
d208 |    0.40    0.40    0.40    0.20    0.00    0.00    0.20    0.60    0.20    0.60
d209 |    1.00    0.40    0.60    0.40    0.20    0.60    0.20    0.60    0.20    0.80
d210 |    0.17    0.17    0.25    0.17    0.08    0.08    0.08    0.33    0.08    0.08
d211 |    0.67    0.22    0.11    0.11    0.33    0.11    0.11    0.11    0.11    0.00
d212 |    1.00    0.40    0.20    0.60    0.00    0.40    0.20    0.40    0.20    0.80
d213 |    0.00    0.67    1.00    0.00    0.00    0.00    0.33    1.00    0.33    0.00
d214 |    0.67    0.67    0.33    0.67    0.00    0.00    0.33    1.00    0.33    0.33
d215 |    0.50    0.33    0.17    1.00    0.50    0.33    0.17    0.17    0.17    0.00
d216 |    1.00    0.40    0.60    0.60    0.00    0.80    0.20    0.40    0.20    0.20
d217 |    0.67    0.67    0.00    0.67    0.33    0.33    0.33    0.00    0.33    0.67
d218 |    1.00    0.50    0.50    1.00    0.25    0.50    0.25    0.25    0.25    0.75
d219 |    0.57    0.29    0.71    0.57    0.00    1.00    0.14    0.71    0.14    0.86
d220 |    0.00    0.67    0.67    0.00    0.33    0.00    0.33    1.00    0.33    0.00
d221 |    0.10    0.20    0.40    0.20    0.00    1.00    0.20    0.20    0.20    0.00
d222 |    0.33    0.33    0.00    0.17    0.00    0.50    0.17    0.00    0.17    0.00
d223 |    0.80    0.20    0.10    0.40    1.00    0.20    0.10    0.10    0.10    0.30
d224 |    0.56    0.22    0.00    0.44    0.00    0.56    0.11    0.00    0.11    1.00
d225 |    0.00    0.67    1.00    0.00    0.00    0.00    0.33    0.67    0.33    0.00
d226 |    0.33    0.67    0.33    0.33    0.00    0.33    0.33    0.00    0.33    0.67
d227 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d228 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d229 |    0.29    0.29    0.43    0.29    0.57    0.14    0.14    0.43    0.14    0.29
d230 |    0.33    0.67    0.33    0.33    0.00    0.33    0.33    0.67    0.33    0.67
d231 |    0.50    0.50    1.00    0.50    0.75    0.50    0.25    0.50    0.25    0.75
d232 |    0.67    0.22    1.00    0.67    0.00    0.56    0.22    0.56    0.11    0.44
d233 |    0.25    0.50    0.50    0.25    0.00    0.50    0.25    0.75    0.25    0.00
d234 |    0.00    0.17    0.00    0.00    0.00    0.00    0.08    0.00    0.08    0.00
d235 |    0.50    0.50    0.50    0.50    0.00    0.75    0.25    0.75    0.25    0.00
d236 |    0.67    0.33    0.17    0.50    0.17    0.67    0.17    0.17    0.17    0.00
d237 |    0.33    0.33    0.33    0.33    0.33    0.33    0.17    0.17    0.17    1.00
d238 |    0.33    0.67    0.00    0.33    0.33    0.33    0.33    0.00    0.33    0.33
d239 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d240 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d241 |    0.20    0.20    0.20    0.20    0.00    0.40    0.10    0.20    0.10    0.30
d242 |    0.80    0.40    0.00    0.60    0.40    0.40    0.20    0.20    0.20    0.80
d243 |    0.40    0.40    0.00    0.20    0.40    0.20    0.20    0.00    0.20    0.40
d244 |    0.40    0.40    0.40    0.40    0.00    0.20    0.20    0.40    0.20    0.40
d245 |    0.50    0.50    0.25    0.50    0.50    0.25    0.25    0.25    0.25    0.00
d246 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d247 |    0.40    0.40    0.40    0.40    0.20    0.20    0.20    0.20    0.20    0.00
d248 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d249 |    0.40    0.40    0.20    0.40    0.20    0.40    0.20    0.40    0.20    0.80
d250 |    0.75    0.50    0.00    0.75    0.00    0.75    0.25    0.00    0.25    0.75
d251 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d252 |    0.67    0.67    0.33    0.67    0.33    0.67    0.33    0.33    0.33    0.67
d253 |    0.80    0.40    0.00    1.00    0.00    0.60    0.20    0.00    0.20    0.60
d254 |    0.17    0.17    0.00    0.25    0.25    0.17    0.08    0.00    0.08    0.17
d255 |    1.00    0.40    0.40    0.80    0.00    0.40    0.20    0.60    0.20    0.00
d256 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.50    0.50    0.00
d257 |    0.33    0.67    0.00    0.33    0.67    0.33    0.33    0.67    0.33    0.00
d258 |    0.40    0.40    0.00    0.40    0.40    0.40    0.20    0.00    0.20    1.00
d259 |    0.33    0.33    1.00    0.33    0.00    0.00    0.17    0.33    0.17    0.00
d260 |    0.40    0.40    0.20    0.40    1.00    0.60    0.20    0.40    0.20    0.00
d261 |    0.60    0.40    0.20    0.60    0.20    0.80    0.20    0.00    0.20    0.80
d262 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d263 |    0.00    0.33    0.00    0.00    0.00    0.00    0.67    0.00    0.33    0.00
d264 |    0.20    0.40    0.20    0.20    0.00    0.20    0.20    0.40    0.20    0.60
d265 |    1.00    0.67    0.33    0.67    0.33    0.33    0.33    0.33    0.33    0.00
d266 |    0.67    0.22    0.22    0.22    0.67    0.33    0.11    0.22    0.11    0.00
d267 |    0.33    0.67    0.67    0.33    0.00    0.33    0.33    0.67    0.33    0.00
d268 |    0.86    0.29    0.29    0.86    0.29    0.86    0.14    0.29    0.14    1.00
d269 |    0.09    0.09    0.00    0.05    1.00    0.09    0.05    0.05    0.05    0.00
d270 |    0.50    1.00    1.00    0.50    0.00    0.00    0.50    1.00    0.50    1.00
d271 |    0.33    0.67    0.67    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d272 |    0.44    0.22    0.44    0.22    0.22    0.11    0.11    0.00    0.11    0.00
d273 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d274 |    0.25    0.50    0.75    0.25    0.00    0.50    0.25    1.00    0.25    0.00
d275 |    0.10    0.20    1.00    0.00    0.10    0.10    0.10    0.50    0.10    0.40
d276 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.00    0.50    0.50
d277 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.50    0.50    0.00
d278 |    0.33    0.67    1.00    0.33    0.00    0.33    0.33    0.67    0.33    0.00
