

==================================================
                  Term Frequency                  
==================================================

     |  word_1  word_2  word_3  word_4  word_5  word_6  word_7  word_8  word_9 word_10
d302 |    0.40    0.40    0.00    0.40    0.00    0.40    0.20    0.00    0.20    1.00
d303 |    0.50    0.50    0.25    0.50    0.50    0.50    0.25    0.25    0.25    1.00
d304 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d305 |    0.00    0.67    0.67    0.00    0.00    0.33    0.33    0.67    0.33    0.00
d306 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d307 |    0.40    0.40    1.00    0.40    0.00    0.40    0.20    0.40    0.20    0.00
d308 |    0.33    0.67    0.33    0.33    0.33    0.00    0.33    0.67    0.33    1.00
d309 |    0.60    0.40    0.20    0.40    0.20    0.40    0.20    0.20    0.20    0.40
d310 |    0.20    0.20    0.00    0.20    0.20    0.20    0.10    0.10    0.10    0.00
d311 |    0.67    0.67    0.33    0.67    0.00    0.67    0.33    0.33    0.33    0.00
d312 |    0.25    0.50    1.00    0.75    0.00    0.00    0.25    0.25    0.25    0.25
d313 |    0.40    0.40    0.00    0.40    0.00    1.00    0.20    0.00    0.20    0.60
d314 |    0.40    0.40    0.20    0.20    0.00    1.00    0.20    0.20    0.20    0.80
d315 |    0.17    0.33    0.17    0.17    0.00    0.17    0.17    0.00    0.17    0.00
d316 |    0.00    1.00    0.50    0.00    0.50    0.00    0.50    1.00    0.50    1.00
d317 |    0.50    0.25    1.00    0.38    0.12    0.25    0.12    0.75    0.12    0.00
d318 |    0.33    0.67    0.67    0.33    0.00    0.33    0.67    0.33    0.33    0.00
d319 |    0.58    0.17    0.25    0.42    0.00    0.42    0.08    0.08    0.08    0.42
d320 |    0.05    0.03    0.13    0.03    0.00    0.03    0.03    0.13    0.03    0.00
d321 |    0.33    0.67    0.67    0.33    0.33    0.33    0.33    0.33    0.33    0.00
d322 |    0.25    0.50    0.50    0.25    1.00    0.25    0.25    0.25    0.25    0.75
d323 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    1.00    0.50    0.00
d324 |    1.00    0.50    0.00    0.75    0.00    0.75    0.25    0.00    0.25    1.00
d325 |    0.50    1.00    1.00    0.50    0.00    0.50    0.50    1.00    0.50    0.50
d326 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    0.00    0.50    0.50
d327 |    0.14    0.29    0.29    0.14    0.57    0.14    0.14    0.29    0.14    0.00
d328 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.50    0.50    1.00
d329 |    0.67    0.67    1.00    0.33    0.00    1.00    0.33    0.33    0.33    0.67
d330 |    0.00    0.67    0.33    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d331 |    1.00    1.00    0.50    1.00    0.00    0.50    0.50    0.50    0.50    1.00
d332 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d333 |    0.80    0.40    0.20    0.40    0.00    0.20    0.20    0.20    0.20    0.00
d334 |    0.50    0.50    0.50    0.25    0.50    0.75    0.25    1.00    0.25    0.75
d335 |    0.20    0.40    0.80    0.20    0.00    0.20    0.20    1.00    0.20    0.20
d336 |    0.67    0.67    0.67    0.33    0.00    0.00    0.33    0.33    0.33    1.00
d337 |    0.08    0.17    0.08    0.17    0.00    0.17    0.08    0.08    0.08    0.42
d338 |    0.67    0.67    0.00    0.67    0.00    0.67    0.33    0.00    0.33    0.00
d339 |    1.00    0.40    0.80    0.60    0.20    0.20    0.20    0.40    0.20    0.00
d340 |    0.29    0.29    0.86    0.29    0.14    0.00    0.14    0.57    0.14    0.00
d341 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d342 |    0.80    0.40    0.40    0.60    0.00    1.00    0.20    0.20    0.40    0.80
d343 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    1.00    0.50    0.50
d344 |    1.00    0.50    1.00    0.50    0.00    0.25    0.25    0.75    0.25    1.00
d345 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d346 |    0.67    0.33    0.00    0.17    0.00    0.33    0.17    0.00    0.17    0.00
d347 |    1.00    0.50    0.50    0.50    0.00    0.75    0.25    0.50    0.25    1.00
d348 |    0.33    0.67    0.00    0.33    0.00    0.33    0.33    0.33    0.33    0.00
d349 |    0.50    0.50    0.25    0.50    0.25    0.75    0.25    0.00    0.25    0.50
d350 |    0.20    0.40    0.00    0.20    1.00    0.40    0.20    0.00    0.20    0.00
d351 |    0.57    0.29    0.14    0.86    0.00    0.14    0.14    0.14    0.14    1.00
d352 |    0.67    0.33    0.33    1.00    0.17    0.50    0.17    0.67    0.17    0.50
d353 |    0.67    0.67    0.00    0.67    0.00    0.33    0.33    0.00    0.33    0.00
d354 |    0.00    0.67    0.00    0.00    0.00    0.00    0.33    0.00    0.33    0.00
d355 |    0.40    0.40    0.40    0.40    0.00    0.40    0.20    0.40    0.20    0.80
d356 |    0.33    0.67    0.00    0.00    0.33    0.67    0.33    0.00    0.33    0.00
d357 |    0.17    0.33    1.00    0.17    0.00    0.33    0.17    0.50    0.17    0.00
d358 |    0.75    0.50    0.25    0.75    0.00    0.00    0.25    0.00    0.25    0.50
d359 |    0.50    0.50    0.50    0.75    0.75    0.25    0.25    0.50    0.25    0.00
d360 |    0.83    0.33    0.17    0.17    0.00    0.17    0.17    0.17    0.17    0.00
d361 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    1.00    0.50    0.00
d362 |    0.60    0.40    0.20    0.40    0.00    0.40    0.20    0.00    0.20    0.00
d363 |    0.33    0.33    0.17    0.33    0.00    0.17    0.17    0.33    0.17    1.00
d364 |    0.75    0.50    0.50    0.25    0.75    0.50    0.25    0.50    0.25    0.25
d365 |    0.50    0.50    0.00    0.50    0.50    0.25    0.25    0.00    0.25    0.00
d366 |    0.50    0.33    0.17    0.67    0.00    0.50    0.17    0.00    0.17    0.00
d367 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d368 |    0.75    0.50    0.25    0.50    0.50    0.50    0.25    0.00    0.25    0.00
d369 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.50    0.50    0.00
d370 |    0.20    0.40    0.00    0.20    0.00    0.20    0.20    0.20    0.20    0.60
d371 |    0.00    0.50    0.25    0.00    0.00    0.00    0.25    0.25    0.25    0.00
d372 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d373 |    0.29    0.29    0.57    0.29    0.71    0.43    0.57    0.14    0.14    0.00
d374 |    0.33    0.67    1.00    0.33    0.00    0.67    0.33    0.33    0.33    0.00
d375 |    0.33    0.67    0.33    0.33    0.00    0.00    0.33    0.33    0.33    0.67
d376 |    0.60    0.40    0.40    0.20    0.20    0.40    0.20    0.40    0.20    0.00
d377 |    0.10    0.20    0.00    0.10    0.00    0.20    0.10    0.00    0.10    0.00
d378 |    0.50    0.25    0.12    0.38    0.12    0.25    0.12    0.00    0.12    1.00
d379 |    0.00    1.00    1.00    0.00    0.00    0.00    1.00    0.50    0.50    0.00
d380 |    0.25    0.17    0.33    0.08    0.08    0.08    0.08    0.33    0.08    0.25
d381 |    0.67    0.67    0.00    0.33    0.00    0.33    0.33    0.00    0.33    1.00
d382 |    0.00    0.40    1.00    0.00    0.00    0.00    0.20    0.60    0.20    0.20
d383 |    0.33    0.67    0.33    0.33    0.00    0.33    0.33    1.00    0.33    0.00
d384 |    0.67    0.67    0.00    0.33    0.67    0.33    0.33    0.00    0.33    0.33
d385 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    1.00    0.50    0.00
d386 |    1.00    1.00    1.00    1.00    0.00    1.00    0.50    1.00    0.50    0.50
d387 |    0.67    0.67    0.67    0.67    0.00    0.67    0.33    0.33    0.33    1.00
d388 |    0.50    1.00    0.50    0.50    0.00    0.50    0.50    0.50    0.50    0.00
d389 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d390 |    0.50    0.50    0.00    0.25    0.00    0.25    0.25    0.50    0.25    0.75
d391 |    0.00    0.50    1.00    0.00    0.00    0.00    0.25    0.50    0.25    0.00
d392 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d393 |    0.00    0.50    0.25    0.25    0.00    0.00    0.25    0.00    0.50    0.00
d394 |    0.25    0.50    0.25    0.25    0.00    0.25    0.25    0.75    0.25    1.00
d395 |    0.43    0.29    0.43    0.29    0.00    0.29    0.14    0.29    0.14    0.00
d396 |    1.00    0.40    0.80    0.60    0.20    0.80    0.40    0.20    0.20    1.00
d397 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d398 |    0.80    0.40    0.20    1.00    0.20    0.40    0.20    0.20    0.40    0.60
d399 |    0.60    0.40    1.00    0.40    0.20    0.20    0.20    0.60    0.20    0.40
d400 |    0.50    1.00    1.00    0.50    0.00    0.50    0.50    0.50    0.50    0.00
d401 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.50    0.50    0.00
d402 |    0.20    0.40    0.20    0.20    0.20    0.20    0.20    0.20    0.20    0.00
d403 |    0.33    0.67    0.33    0.33    0.00    0.33    0.33    0.33    0.33    0.00
d404 |    0.00    0.67    0.33    0.00    0.00    0.00    0.33    0.33    0.33    0.00
d405 |    1.00    0.67    1.00    1.00    0.00    0.67    0.33    1.00    0.33    1.00
d406 |    0.67    0.67    0.00    0.67    0.00    0.00    0.33    0.00    0.33    0.67
d407 |    0.67    0.67    0.33    0.33    0.67    0.33    0.33    0.33    0.33    0.33
d408 |    0.14    0.29    0.43    0.29    0.29    0.29    0.14    0.00    0.14    0.71
d409 |    0.18    0.18    0.09    0.18    0.09    0.18    0.09    0.18    0.09    0.00
d410 |    0.25    0.50    1.00    0.25    0.00    0.25    0.25    0.50    0.25    0.00
d411 |    0.33    0.67    0.33    0.33    0.00    0.33    0.33    0.33    0.33    0.00
d412 |    0.43    0.29    0.00    0.29    0.00    1.00    0.14    0.14    0.14    0.57
d413 |    0.20    0.40    0.00    0.20    0.00    0.60    0.20    0.00    0.20    0.00
d414 |    0.50    0.50    0.00    0.50    0.50    0.25    0.25    0.00    0.25    0.75
d415 |    0.00    1.00    0.00    0.00    0.00    1.00    0.50    0.00    0.50    0.50
d416 |    0.00    0.67    0.00    0.00    0.33    0.00    0.33    0.33    0.33    0.33
d417 |    0.50    0.50    1.00    0.25    0.00    0.25    0.25    0.75    0.25    0.00
d418 |    0.33    0.67    0.67    0.33    0.00    0.00    0.33    0.33    0.33    0.67
d419 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d420 |    0.71    0.29    0.00    0.43    0.00    0.57    0.14    0.29    0.14    1.00
d421 |    0.20    0.20    0.20    0.10    0.20    0.10    0.10    0.20    0.10    0.00
d422 |    0.75    0.50    0.00    0.75    0.00    1.00    0.25    0.00    0.25    0.00
d423 |    0.10    0.20    0.00    0.10    0.00    0.00    0.10    0.00    0.10    0.20
d424 |    0.33    0.67    0.33    0.33    0.00    0.00    0.33    1.00    0.33    0.00
d425 |    0.17    0.33    0.83    0.17    0.00    0.17    0.17    0.17    0.17    0.00
d426 |    1.00    0.67    1.00    0.67    0.67    0.67    0.67    0.33    0.33    1.00
d427 |    0.09    0.18    0.00    0.09    0.36    0.09    0.09    0.00    0.09    0.00
d428 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    1.00    0.50    0.50
d429 |    0.29    0.29    0.43    0.00    0.00    0.00    0.14    0.14    0.14    0.00
d430 |    0.80    0.40    0.20    1.00    0.00    0.60    0.20    0.20    0.20    0.80
d431 |    0.00    0.67    1.00    0.00    0.00    0.00    0.33    0.33    0.67    0.00
d432 |    0.80    0.40    0.40    0.80    0.40    0.60    0.20    0.00    0.20    0.80
d433 |    1.00    0.50    0.00    0.25    0.00    0.25    0.50    0.00    0.25    0.00
d434 |    0.33    0.67    0.00    0.33    0.00    0.33    0.33    0.67    0.33    1.00
d435 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    1.00
d436 |    0.17    0.33    0.33    0.00    0.00    0.00    0.17    0.33    0.17    0.33
d437 |    1.00    0.67    0.00    1.00    0.00    0.67    0.33    0.00    0.33    0.67
d438 |    0.17    0.17    0.08    0.17    1.00    0.42    0.17    0.00    0.08    0.00
d439 |    0.13    0.13    0.00    0.07    0.07    0.20    0.07    0.00    0.07    0.00
d440 |    0.67    0.67    0.67    0.67    0.33    0.33    0.33    0.67    0.33    0.00
d441 |    0.75    0.50    0.25    0.75    0.25    1.00    0.25    0.00    0.25    1.00
d442 |    0.12    0.25    0.25    0.25    0.00    0.62    0.12    0.12    0.25    0.00
d443 |    0.50    0.50    0.25    0.75    0.00    0.75    0.25    0.50    0.25    0.00
d444 |    0.50    1.00    1.00    0.00    0.50    0.50    0.50    0.00    0.50    0.50
d445 |    1.00    0.67    0.00    0.67    0.33    0.67    0.33    0.00    0.33    0.00
d446 |    0.80    0.40    0.20    0.40    0.00    0.40    0.20    0.40    0.20    1.00
d447 |    1.00    0.67    0.00    1.00    0.33    0.67    0.33    0.00    0.33    0.33
d448 |    0.75    0.50    0.25    0.25    0.00    0.00    0.25    0.00    0.25    0.00
d449 |    0.21    0.14    0.00    0.14    1.00    0.07    0.07    0.00    0.07    0.00
d450 |    0.86    0.29    0.14    0.57    0.00    0.86    0.14    0.14    0.14    0.57
d451 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    1.00    0.50    0.00
d452 |    0.00    0.50    0.25    0.00    0.00    0.00    0.25    0.00    0.25    0.00
d453 |    0.75    0.50    0.00    0.50    0.00    1.00    0.25    0.00    0.25    0.00
d454 |    0.00    1.00    0.00    0.00    0.00    0.50    0.50    0.00    0.50    0.00
d455 |    0.00    0.67    0.33    0.00    0.00    0.00    0.33    0.33    0.33    0.00
d456 |    0.00    0.40    1.00    0.00    0.00    0.00    0.20    0.20    0.20    0.00
d457 |    1.00    0.25    0.88    0.75    0.38    0.50    0.12    0.38    0.12    0.50
